County,Count,Percent
Atlantic,7403,9%
Bergen,3124,4%
Burlington,3760,4%
Camden,7390,9%
Cape May,2322,3%
Cumberland,2843,3%
Essex,8194,10%
Gloucester,4033,5%
Hudson,3992,5%
Hunterdon,731,1%
Mercer,3830,4%
Middlesex,5869,7%
Monmouth,6136,7%
Morris,2072,2%
Ocean,6599,8%
Passaic,4533,5%
Salem,940,1%
Somerset,1632,2%
Sussex,1034,1%
Union,3628,4%
Warren,977,1%
Other,4224,5%
